year_film,year_award,ceremony,category,nominee,film,win,reducedString,tconst,primaryTitle,originalTitle
1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,True,gaslight,tt15087414,Gaslight 2022,Gaslight
1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,True,gaslight,tt27012110,Gaslight,Gaslight
1944,1945,2,Actor In A Leading Role,Alexander Knox,Wilson,True,wilson,tt1781058,Wilson,Wilson
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray,True,picture of dorian gray,tt0364599,The Picture of Dorian Gray,The Picture of Dorian Gray
1945,1946,3,Best Director - Motion Picture,Billy Wilder,The Lost Weekend,True,lost weekend,tt16085546,Lost Weekend,Lost Weekend
1945,1946,3,Promoting International Understanding,Frank Sinatra,The House I Live In,True,house i live in,tt2125653,The House I Live In,The House I Live In
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge,True,razors edge,tt0087980,The Razor's Edge,The Razor's Edge
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge,True,razors edge,tt2920354,Razor's Edge,Razor's Edge
1946,1947,4,Promoting International Understanding,"Switzerland, Leopold Lindtberg",The Last Chance,True,last chance,tt0183392,Last Chance,Last Chance
1946,1947,4,Promoting International Understanding,"Switzerland, Leopold Lindtberg",The Last Chance,True,last chance,tt14152792,The Last Chance,The Last Chance
1946,1947,4,Special Achievement Award,Harold Russell,The Best Years Of Our Lives,False,best years of our lives,tt3979452,The Best Years of Our Lives,The Best Years of Our Lives
1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Miracle On 34th Street,True,miracle on iiiivth street,tt0110527,Miracle on 34th Street,Miracle on 34th Street
1947,1948,5,Special Achievement Award,Walt Disney,Bambi,False,bambi,tt2668120,Bambi,Bambi
1947,1948,5,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death,True,kiss of death,tt0113552,Kiss of Death,Kiss of Death
1947,1948,5,Actor In A Leading Role,Ronald Colman,A Double Life,True,a double life,tt16152130,A Double Life,A Double Life
1948,1949,6,Best Screenplay - Motion Picture,Richard Schweizer,The Search,True,search,tt0120085,Search,Search
1948,1949,6,Best Screenplay - Motion Picture,Richard Schweizer,The Search,True,search,tt11350114,The Search,The Search
1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,True,red shoes,tt1612093,The Red Shoes,The Red Shoes
1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,True,red shoes,tt21231614,Red Shoes,Red Shoes
1948,1949,6,Cinematography,Gabriel Figueroa,The Pearl,True,pearl,tt0245350,The Pearl,The Pearl
1948,1949,6,Cinematography,Gabriel Figueroa,The Pearl,True,pearl,tt12325668,Pearl,Pearl
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,All The King's Men,True,all kings men,tt0405676,All the King's Men,All the King's Men
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Miriam Hopkins,The Heiress,False,heiress,tt11063946,The Heiress,The Heiress
