year_film,year_ceremony,ceremony,category,name,film,winner,date,reducedString,tconst,primaryTitle,originalTitle
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,1927,noose,tt7978076,The Noose,The Noose
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,1927,noose,tt9881572,Noose,Noose
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,1927,sunrise,tt2385227,Sunrise,Sunrise
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True,1927,dove,tt0071438,The Dove,The Dove
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True,1927,dove,tt0223164,Dove,Dove
1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,True,1927,wings,tt2406100,Wings,Wings
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,1927,racket,tt8169450,The Racket,The Racket
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,1927,racket,tt8359858,Racket,Racket
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False,1927,chang,tt0401312,Downfall,Chang
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False,1927,jazz singer,tt0080948,The Jazz Singer,The Jazz Singer
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True,1927,underworld,tt0090233,Underworld,Underworld
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True,1927,underworld,tt8108098,The Underworld,The Underworld
1928,1929,2,ACTOR,Chester Morris,Alibi,False,1928,alibi,tt0409681,Lies and Alibis,The Alibi
1928,1929,2,ACTOR,Chester Morris,Alibi,False,1928,alibi,tt0469876,Alibi,Alibi
1928,1929,2,ACTOR,Paul Muni,The Valiant,False,1928,valiant,tt0361089,Valiant,Valiant
1928,1929,2,ACTOR,Lewis Stone,The Patriot,False,1928,patriot,tt0091734,The Patriot,The Patriot
1928,1929,2,ACTOR,Lewis Stone,The Patriot,False,1928,patriot,tt0297330,Patriot,Patriot
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False,1928,madame x,tt0143543,Madame X,Madame X
1928,1929,2,ACTRESS,Betty Compson,The Barker,False,1928,barker,tt7550632,The Barker,The Barker
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False,1928,letter,tt0266721,The Letter,The Letter
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True,1928,bridge of san luis rey,tt0356443,The Bridge of San Luis Rey,The Bridge of San Luis Rey
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,False,1928,dynamite,tt0136096,Dynamite,Dynamite
1928,1929,2,WRITING,Elliott Clawson,The Cop;,False,1928,cop,tt0092783,Cop,Cop
1928,1929,2,WRITING,Elliott Clawson,The Cop;,False,1928,cop,tt14459300,Çöp,Çöp
1929,1930,3,ACTOR,George Arliss,The Green Goddess,False,1929,green goddess,tt1520421,The Green Goddess,The Green Goddess
1929,1930,3,ACTOR,Wallace Beery,The Big House,False,1929,big house,tt0205773,The Big House,The Big House
1929,1930,3,ACTOR,Wallace Beery,The Big House,False,1929,big house,tt11667868,Big House,Big House
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False,1929,trespasser,tt3065296,The Trespasser,The Trespasser
1929,1930,3,ART DIRECTION,(Jack Okey),Sally,False,1929,sally,tt0284451,Sally,Sally
1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,False,1929,hells angels,tt13544642,Hell's Angels,Hell's Angels
1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,False,1929,raffles,tt0189957,Raffles,Raffles
1930,1931,4,ACTOR,Jackie Cooper,Skippy,False,1930,skippy,tt0105422,Skippy,Skippy
1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False,1930,front page,tt0071524,The Front Page,The Front Page
1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False,1930,morocco,tt0211527,Morocco,Morocco
1930,1931,4,ACTRESS,Ann Harding,Holiday,False,1930,holiday,tt0457939,The Holiday,The Holiday
1930,1931,4,ACTRESS,Ann Harding,Holiday,False,1930,holiday,tt0461062,Holiday,Holiday
1930,1931,4,ART DIRECTION,Anton Grot,Svengali,False,1930,svengali,tt2262175,Svengali,Svengali
